Channel Name,Call Letters / Feed,Flagship,Type,Group,Region,Country,Network / Parent Company,Channel #,Timezone,Genre Focus,Shows You Might Like,Popular Shows / Notes,Streaming Alternative,Streaming Status,Feed Variant,Language,Availability,Notes / Annotations,matched_provider_name,matched_provider_norm,provider_xmltv_id,provider_site,provider_tag,provider_source_file,match_score,simple_ratio,token_set_ratio,match_method,confidence,alt1_name,alt1_score,alt2_name,alt2_score
Starz Canada 2,Starz 2,No,Premium,CA-Specialty,National,CA,Bell Media,,Eastern,Thriller; drama,Gaslit; BMF,Secondary Starz feed via Crave,Crave.ca,Subscription,HD,English,IPTV only,,E! Canada,e canada,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,85,63,85,token_set,medium,E! Canada HD,85,History 2 Canada,80
Super Channel Fuse,Fuse,Yes,Premium,CA-Specialty,National,CA,Super Channel,,Eastern,Drama; indie; docs,When Calls the Heart; Pure,Flagship Super Channel feed,SuperChannel.ca,Subscription,HD,English,IPTV only,,Super Channel Fuse,super fuse,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,Super Channel Fuse HD,100,Super Channel Quest,76
Super Channel Heart & Home,Heart & Home,No,Premium,CA-Specialty,National,CA,Super Channel,,Eastern,Family; romance,Heartland; Love on Safari,Family-friendly Super Channel feed,SuperChannel.ca,Subscription,HD,English,IPTV only,,Super Channel Heart and Home,super heart and home,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,Super Channel Heart and Home HD,100,Super Channel Fuse,66
Super Channel Vault,Vault,No,Premium,CA-Specialty,National,CA,Super Channel,,Eastern,Cult classics; retro,The Warriors; The Thing,Retro and cult film feed,SuperChannel.ca,Subscription,HD,English,IPTV only,,Super Channel Vault,super vault,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,Super Channel Vault HD,100,Super Channel Quest,72
W Network,,,Specialty,CA-Specialty,National,CA,Corus Entertainment,,Eastern,Drama; romance,The Good Witch; Hallmark movies,Canadian feed of Hallmark-style content,StackTV,Subscription,HD,English,IPTV only,,W Network Canada East (WTN),w network canada wtn,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,62,100,token_set,high,3ABN Canada Network,87,Anime Network On Demand,87
BBC One,BBC One HD,Yes,Public,UK-Local,National,UK,BBC,1,BST,Drama; news; docs,EastEnders; The Repair Shop,Flagship BBC channel,BBC iPlayer,Free-to-air,HD,English,Free-to-air,,BBC One CI HD,bbc one ci,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,82,100,token_set,high,BBC One E Mid HD,100,BBC One EastHD,100
BBC Two,BBC Two HD,Yes,Public,UK-Local,National,UK,BBC,2,BST,Docs; comedy; arts,University Challenge; QI,Cultural and factual programming,BBC iPlayer,Free-to-air,HD,English,Free-to-air,,BBC Two HD,bbc two,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,100,100,token_set,high,BBC Two NI HD,100,BBC Two Wal HD,100
BBC Three,BBC Three HD,No,Public,UK-Local,National,UK,BBC,23,BST,Youth drama; reality,Fleabag; RuPaul�??s Drag Race UK,Youth-focused content,BBC iPlayer,Free-to-air,HD,English,Free-to-air,,BBC Three HD,bbc three,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,100,100,token_set,high,BBC Three,100,BBC Three HD,100
BBC Four,BBC Four HD,No,Public,UK-Local,National,UK,BBC,9,BST,Arts; docs; history,Storyville; The Culture Show,Highbrow and niche programming,BBC iPlayer,Free-to-air,HD,English,Free-to-air,,BBC Four HD,bbc four,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,100,100,token_set,high,BBC Four,100,BBC Four HD,100
ITV1,ITV1 HD,Yes,Commercial,UK-Local,National,UK,ITV plc,3,BST,Drama; reality; news,Coronation Street; Love Island,Flagship ITV feed,ITVX,Free-to-air,HD,English,Free-to-air,,ITV1 HD,itv1,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,100,100,token_set,high,ITV1 +1 London,100,ITV1 HD,100
ITV2,ITV2 HD,No,Commercial,UK-Specialty,National,UK,ITV plc,6,BST,Comedy; youth; reality,Family Guy; Celebrity Juice,Youth and entertainment focus,ITVX,Free-to-air,HD,English,Free-to-air,,ITV2 HD,itv2,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,100,100,token_set,high,ITV2,100,ITV2 +1,100
ITV3,ITV3 HD,No,Commercial,UK-Specialty,National,UK,ITV plc,10,BST,Drama; mystery,Midsomer Murders; Vera,Classic British crime dramas,ITVX,Free-to-air,HD,English,Free-to-air,,ITV3 HD,itv3,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,100,100,token_set,high,ITV3,100,ITV3 +1,100
ITV4,ITV4 HD,No,Commercial,UK-Specialty,National,UK,ITV plc,24,BST,Action; sports; retro,The Professionals; Tour de France,Sports and retro action,ITVX,Free-to-air,HD,English,Free-to-air,,ITV4 HD,itv4,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,100,100,token_set,high,ITV4,100,ITV4 +1,100
Channel 4,C4 HD,Yes,Commercial,UK-Local,National,UK,Channel Four Television Corp,4,BST,Drama; satire; docs,Gogglebox; The Great British Bake Off,Flagship Channel 4 feed,Channel4.com,Free-to-air,HD,English,Free-to-air,,Channel 4,4,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,100,100,token_set,high,Channel 4 HD,100,Eurosport 4 HD,100
E4,E4 HD,No,Commercial,UK-Specialty,National,UK,Channel Four Television Corp,13,BST,Youth; comedy; drama,Made in Chelsea; Brooklyn Nine-Nine,Youth-oriented Channel 4 feed,Channel4.com,Free-to-air,HD,English,Free-to-air,,E4 Extra,e4 extra,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,40,100,token_set,high,E4 HD,100,E4,100
More4,More4 HD,No,Commercial,UK-Specialty,National,UK,Channel Four Television Corp,14,BST,Lifestyle; docs; property,Location Location Location; 24 Hours in A&E,Docs and lifestyle programming,Channel4.com,Free-to-air,HD,English,Free-to-air,,More4 HD,more4,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,100,100,token_set,high,More4 +1,100,More4 +1,100
Film4,Film4 HD,No,Specialty,UK-Specialty,National,UK,Channel Four Television Corp,15,BST,Movies; indie; British cinema,Trainspotting; The Favourite,Free movie channel,Channel4.com,Free-to-air,HD,English,Free-to-air,,Film4 HD,film4,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,100,100,token_set,high,Film4,100,Film4,100
Sky Showcase,Sky Showcase HD,Yes,Commercial,UK-Local,National,UK,Sky Group,106,BST,Drama; highlights,Cobra; The Lazarus Project,Flagship Sky channel,Sky Go / NOW,Subscription,HD,English,IPTV only,,Sky Atlantic HD,sky,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,40,100,token_set,high,Sky Showcase,100,Sky Atlantic,100
Sky Atlantic,Sky Atlantic HD,Yes,Premium,UK-Specialty,National,UK,Sky Group,108,BST,HBO; prestige drama,Succession; House of the Dragon,HBO content in UK,Sky Go / NOW,Subscription,HD,English,IPTV only,,Sky Action,sky action,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,46,100,token_set,high,Sky Action HD,100,Sky Adventure,100
Sky Max,Sky Max HD,No,Specialty,UK-Specialty,National,UK,Sky Group,113,BST,Comedy; drama; sci-fi,Avenue 5; Brassic,General entertainment,Sky Go / NOW,Subscription,HD,English,IPTV only,,Sky Atlantic HD,sky,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,60,100,token_set,high,Sky Max HD,100,Sky Atlantic,100
Sky Arts,Sky Arts HD,No,Specialty,UK-Specialty,National,UK,Sky Group,130,BST,Arts; music; docs,Portrait Artist of the Year; Music Box,Cultural programming,Sky Go / NOW,Free-to-air,HD,English,Free-to-air,,Sky Arts HD,sky arts,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,100,100,token_set,high,Sky Atlantic HD,100,Sky Arts,100
Sky Cinema Premiere,Sky Cinema Premiere HD,Yes,Premium,UK-Specialty,National,UK,Sky Group,301,BST,Blockbusters; new releases,Oppenheimer; Barbie,Flagship Sky movie channel,Sky Go / NOW,Subscription,HD,English,IPTV only,,Sky Atlantic HD,sky,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,27,100,token_set,high,Sky Premiere,100,Sky Atlantic,100
Sky Cinema Drama,Sky Cinema Drama HD,No,Premium,UK-Specialty,National,UK,Sky Group,303,BST,Drama; romance,Little Women; The Father,Prestige drama films,Sky Go / NOW,Subscription,HD,English,IPTV only,,Sky Atlantic HD,sky,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,31,100,token_set,high,Sky Drama HD,100,Drama,100
Sky Cinema Thriller,Sky Cinema Thriller HD,No,Premium,UK-Specialty,National,UK,Sky Group,304,BST,Thriller; suspense,Gone Girl; The Girl on the Train,Crime and psychological thrillers,Sky Go / NOW,Subscription,HD,English,IPTV only,,Sky Atlantic HD,sky,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,27,100,token_set,high,Sky Thriller HD,100,Sky Atlantic,100
Sky Cinema Greats,Sky Cinema Greats HD,No,Premium,UK-Specialty,National,UK,Sky Group,305,BST,Classics; cult favorites,The Godfather; Casablanca,Timeless cinema,Sky Go / NOW,Subscription,HD,English,IPTV only,,Sky Atlantic HD,sky,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,30,100,token_set,high,Sky Greats,100,Sky Greats HD,100
Sky Documentaries,Sky Docs HD,No,Specialty,UK-Specialty,National,UK,Sky Group,121,BST,Docs; real stories,Tina; The Disappearance of Madeleine McCann,Premium documentaries,Sky Go / NOW,Subscription,HD,English,IPTV only,,Sky Atlantic HD,sky,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,30,100,token_set,high,Sky Documentaries HD,100,Sky Atlantic,100
Sky Witness,Sky Witness HD,No,Specialty,UK-Specialty,National,UK,Sky Group,107,BST,Crime; procedural,Law & Order; Chicago Fire,US procedural imports,Sky Go / NOW,Subscription,HD,English,IPTV only,,Sky Atlantic HD,sky,,epgshare01.online,epgshare01.online,epgshare01.online_UK1.channels.xml,100,42,100,token_set,high,Sky Witness HD,100,Sky Atlantic,100
ABC TV,ABC HD,Yes,Public,AU-Local,National,AU,Australian Broadcasting Corporation,2,AEST,News; docs; drama,Four Corners; Mystery Road,Flagship Australian public broadcaster,ABC iView,Free-to-air,HD,English,Free-to-air,,ABC Adelaide,abc adelaide,,epgshare01.online,epgshare01.online,epgshare01.online_AU1.channels.xml,100,40,100,token_set,high,ABC Brisbane,100,ABC Entertains Adelaide,100
SBS,SBS HD,Yes,Public,AU-Local,National,AU,Special Broadcasting Service,3,AEST,Multicultural; docs; drama,Insight; The Hunting,Multilingual and international content,SBS On Demand,Free-to-air,HD,English + Multilingual,Free-to-air,,SBS,sbs,,abc.net.au,abc.net.au,abc.net.au_adl.channels.xml,100,100,100,token_set,high,SBS,100,SBS,100
Seven Network,Seven HD,Yes,Commercial,AU-Local,National,AU,Seven West Media,7,AEST,Drama; reality; sport,Home and Away; The Voice Australia,Flagship commercial network,7plus,Free-to-air,HD,English,Free-to-air,,Food Network,food network,,epgshare01.online,epgshare01.online,epgshare01.online_AU1.channels.xml,73,64,73,token_set,low,Cartoon Network,70,Lifetime Movie Network,70
Nine Network,Nine HD,Yes,Commercial,AU-Local,National,AU,Nine Entertainment Co.,9,AEST,Drama; reality; news,Underbelly; Married at First Sight,Flagship commercial network,9Now,Free-to-air,HD,English,Free-to-air,,Cartoon Network,cartoon network,,epgshare01.online,epgshare01.online,epgshare01.online_AU1.channels.xml,73,66,73,token_set,low,Food Network,73,Lifetime Movie Network,73
Network 10,Ten HD,Yes,Commercial,AU-Local,National,AU,Paramount ANZ,10,AEST,Comedy; reality; youth,The Project; Taskmaster AU,Flagship commercial network,10Play,Free-to-air,HD,English,Free-to-air,,10,10,,abc.net.au,abc.net.au,abc.net.au_tsv.channels.xml,100,33,100,token_set,high,10,100,10,100
10 Peach,10 Peach HD,No,Commercial,AU-Specialty,National,AU,Paramount ANZ,11,AEST,Youth; sitcoms,Friends; Neighbours,Youth-oriented feed,10Play,Free-to-air,HD,English,Free-to-air,,10,10,,abc.net.au,abc.net.au,abc.net.au_tsv.channels.xml,100,40,100,token_set,high,10,100,10,100
10 Bold,10 Bold HD,No,Commercial,AU-Specialty,National,AU,Paramount ANZ,12,AEST,Drama; action,NCIS; Bull,Male-skewed drama feed,10Play,Free-to-air,HD,English,Free-to-air,,10,10,,abc.net.au,abc.net.au,abc.net.au_tsv.channels.xml,100,44,100,token_set,high,10,100,10,100
ABC ME,ABC ME HD,No,Public,AU-Specialty,National,AU,ABC,23,AEST,Kids; education,Bluey; Behind the News,Children�??s programming,ABC iView,Free-to-air,HD,English,Free-to-air,,ABC Adelaide,abc adelaide,,epgshare01.online,epgshare01.online,epgshare01.online_AU1.channels.xml,66,55,66,token_set,low,ABC Brisbane,66,ABC Entertains Adelaide,66
ABC News,ABC News HD,No,Public,AU-Specialty,National,AU,ABC,24,AEST,News; current affairs,ABC News Breakfast; The Drum,24-hour news channel,ABC iView,Free-to-air,HD,English,Free-to-air,,ABC News Adelaide,abc news adelaide,,epgshare01.online,epgshare01.online,epgshare01.online_AU1.channels.xml,100,64,100,token_set,high,ABC News Brisbane,100,ABC News Hobart,100
SBS Viceland,SBS Viceland HD,No,Public,AU-Specialty,National,AU,SBS,31,AEST,Youth; docs; alt culture,Huang�??s World; The Feed,Alternative and edgy content,SBS On Demand,Free-to-air,HD,English,Free-to-air,,SBS,sbs,,abc.net.au,abc.net.au,abc.net.au_adl.channels.xml,100,40,100,token_set,high,SBS,100,SBS,100
SBS World Movies,SBS World Movies HD,No,Public,AU-Specialty,National,AU,SBS,32,AEST,International cinema,Am??lie; Parasite,Global movie channel,SBS On Demand,Free-to-air,HD,Multilingual,Free-to-air,,SBS,sbs,,abc.net.au,abc.net.au,abc.net.au_adl.channels.xml,100,31,100,token_set,high,SBS,100,SBS,100
HGTV NZ,HGTV HD,No,Specialty,NZ-Specialty,National,NZ,Warner Bros. Discovery NZ,17,NZST,Home; design; lifestyle,Fixer Upper; House Hunters Intl.,NZ feed of HGTV,ThreeNow,VPN Required,HD,English,IPTV only,,HGTV,hgtv,,epgshare01.online,epgshare01.online,epgshare01.online_AU1.channels.xml,100,72,100,token_set,high,,,,
Sky Open,Sky Open HD,Yes,Commercial,NZ-Local,National,NZ,Sky NZ,4,NZST,Drama; lifestyle,Secrets at Red Rocks; Small Town Scandal,Free-to-air Sky content,SkyGo,VPN Required,HD,English,IPTV only,,Sky News Australia,sky news australia,,epgshare01.online,epgshare01.online,epgshare01.online_AU1.channels.xml,54,38,54,token_set,low,Sky News Australia Extra,54,Sky News UK,54
Sky Movies Premiere,Sky Movies Premiere HD,Yes,Premium,NZ-Specialty,National,NZ,Sky NZ,30,NZST,Blockbusters; new releases,Oppenheimer; Barbie,Flagship movie channel,SkyGo,VPN Required,HD,English,IPTV only,,Foxtel Movies Premiere,foxtel movies premiere,,epgshare01.online,epgshare01.online,epgshare01.online_AU1.channels.xml,88,78,88,token_set,medium,Foxtel Movies Premiere +2,88,SBS World Movies Perth,58
Sky Movies Drama,Sky Movies Drama HD,No,Premium,NZ-Specialty,National,NZ,Sky NZ,32,NZST,Emotional; character-driven,Little Women; The Father,Prestige drama films,SkyGo,VPN Required,HD,English,IPTV only,,Foxtel Movies Drama,foxtel movies drama,,epgshare01.online,epgshare01.online,epgshare01.online_AU1.channels.xml,85,74,85,token_set,medium,BBC Drama,71,Foxtel Movies Romance,59
Sky Movies Thriller,Sky Movies Thriller HD,No,Premium,NZ-Specialty,National,NZ,Sky NZ,33,NZST,Mystery; suspense,Gone Girl; The Girl on the Train,Crime and psychological thrillers,SkyGo,VPN Required,HD,English,IPTV only,,Foxtel Movies Premiere,foxtel movies premiere,,epgshare01.online,epgshare01.online,epgshare01.online_AU1.channels.xml,58,58,53,simple,low,SBS World Movies Sydney,57,Sky News Australia Extra,55
Sky Movies Greats,Sky Movies Greats HD,No,Premium,NZ-Specialty,National,NZ,Sky NZ,34,NZST,Classics; cult favorites,The Godfather; Casablanca,Timeless cinema,SkyGo,VPN Required,HD,English,IPTV only,,Foxtel Movies Greats,foxtel movies greats,,epgshare01.online,epgshare01.online,epgshare01.online_AU1.channels.xml,86,75,86,token_set,medium,Foxtel Movies Hits,57,SBS World Movies Perth,56
Sky Arts NZ,Sky Arts HD,No,Specialty,NZ-Specialty,National,NZ,Sky NZ,20,NZST,Arts; music; docs,Portrait Artist of the Year; Music Box,Cultural and creative programming,SkyGo,VPN Required,HD,English,IPTV only,,Sky News Australia,sky news australia,,epgshare01.online,epgshare01.online,epgshare01.online_AU1.channels.xml,55,41,55,token_set,low,Sky News UK,54,Sky Racing 1,52
BBC UKTV NZ,UKTV NZ HD,No,Specialty,NZ-Specialty,National,NZ,BBC Studios NZ,9,NZST,British drama; mystery,Death in Paradise; Luther,Cozy crime and UK imports,SkyGo,VPN Required,HD,English,IPTV only,,BBC UKTV,bbc uktv,,epgshare01.online,epgshare01.online,epgshare01.online_AU1.channels.xml,100,84,100,token_set,high,BBC UKTV +2,84,BBC Brit,54
ABC East,WABC-DT,Yes,Commercial,US-Local,Eastern US,US,Disney,7.1,Eastern,News; drama; comedy,Abbott Elementary; Grey�??s Anatomy,Flagship ABC feed,ABC.com / Hulu,Free-to-air,HD,English,Free-to-air,,KABC (Los Angeles) ABC HD West,kabc los angeles abc,KABCDT1.us@SD,directv.com,directv.com,directv.com.channels.xml,100,26,100,token_set,high,KABC (Los Angeles) ABC West,100,"Parkersburg, WV WCHS ABC 8 A3 HD",100
ABC West,KABC-DT,Yes,Commercial,US-Local,Western US,US,Disney,7.1,Pacific,News; drama; comedy,The Rookie; Station 19,Time-shifted ABC feed,ABC.com / Hulu,Free-to-air,HD,English,Free-to-air,,KABC (Los Angeles) ABC HD West,kabc los angeles abc,KABCDT1.us@SD,directv.com,directv.com,directv.com.channels.xml,100,26,100,token_set,high,KABC (Los Angeles) ABC West,100,"Parkersburg, WV WCHS ABC 8 A3 HD",100
CBS East,WCBS-DT,Yes,Commercial,US-Local,Eastern US,US,Paramount Global,2.1,Eastern,Drama; reality,FBI; Survivor; Blue Bloods,Flagship CBS feed,CBS.com / Paramount+,Free-to-air,HD,English,Free-to-air,,CBS Sports Network,cbs sports network,CBSSportsNetworkUSA.us@SD,directv.com,directv.com,directv.com.channels.xml,100,28,100,token_set,high,CBS Sports Network HD,100,KCBS (Los Angeles) CBS HD West,100
CBS West,KCBS-DT,Yes,Commercial,US-Local,Western US,US,Paramount Global,2.1,Pacific,Drama; reality,NCIS; The Amazing Race,Time-shifted CBS feed,CBS.com / Paramount+,Free-to-air,HD,English,Free-to-air,,CBS Sports Network,cbs sports network,CBSSportsNetworkUSA.us@SD,directv.com,directv.com,directv.com.channels.xml,100,28,100,token_set,high,CBS Sports Network HD,100,KCBS (Los Angeles) CBS HD West,100
NBC East,WNBC-DT,Yes,Commercial,US-Local,Eastern US,US,NBCUniversal,4.1,Eastern,News; drama; variety,Law & Order; The Voice,Flagship NBC feed,NBC.com / Peacock,Free-to-air,HD,English,Free-to-air,,KNBC (Los Angeles) NBC HD West,knbc los angeles nbc,,directv.com,directv.com,directv.com.channels.xml,100,26,100,token_set,high,KNBC (Los Angeles) NBC West,100,NBC Sports Bay Area,100
NBC West,KNBC-DT,Yes,Commercial,US-Local,Western US,US,NBCUniversal,4.1,Pacific,News; drama; variety,Chicago Fire; SNL,Time-shifted NBC feed,NBC.com / Peacock,Free-to-air,HD,English,Free-to-air,,KNBC (Los Angeles) NBC HD West,knbc los angeles nbc,,directv.com,directv.com,directv.com.channels.xml,100,26,100,token_set,high,KNBC (Los Angeles) NBC West,100,NBC Sports Bay Area,100
FOX East,WNYW-DT,Yes,Commercial,US-Local,Eastern US,US,Fox Corporation,5.1,Eastern,Reality; action,9-1-1; The Masked Singer,Flagship FOX feed,FOX.com / Hulu,Free-to-air,HD,English,Free-to-air,,Fox Business Network,fox business network,FoxBusinessNetwork.us@SD,directv.com,directv.com,directv.com.channels.xml,100,26,100,token_set,high,Fox Business Network HD,100,FOX Deportes,100
FOX West,KTTV-DT,Yes,Commercial,US-Local,Western US,US,Fox Corporation,11.1,Pacific,Reality; action,Hell�??s Kitchen; Alert,Time-shifted FOX feed,FOX.com / Hulu,Free-to-air,HD,English,Free-to-air,,Fox Business Network,fox business network,FoxBusinessNetwork.us@SD,directv.com,directv.com,directv.com.channels.xml,100,26,100,token_set,high,Fox Business Network HD,100,FOX Deportes,100
PBS East,WNET-DT,Yes,Public,US-Local,Eastern US,US,PBS,13.1,Eastern,Docs; arts; kids,Frontline; PBS NewsHour,Flagship PBS feed,PBS.org,Free-to-air,HD,English,Free-to-air,,A3 Parkersburg 65 PBS (Virt),a3 parkersburg 65 pbs virt,W51EGD1.us@SD,directv.com,directv.com,directv.com.channels.xml,100,20,100,token_set,high,PBS Kids,100,"Alabama Public TV - PBS (WAIQ) Montgomery, AL",100
PBS West,KCET-DT,Yes,Public,US-Local,Western US,US,PBS,28.1,Pacific,Docs; arts; kids,Nature; American Experience,Time-shifted PBS feed,PBS.org,Free-to-air,HD,English,Free-to-air,,A3 Parkersburg 65 PBS (Virt),a3 parkersburg 65 pbs virt,W51EGD1.us@SD,directv.com,directv.com,directv.com.channels.xml,100,20,100,token_set,high,PBS Kids,100,"Alabama Public TV - PBS (WAIQ) Montgomery, AL",100
The CW East,WPIX-DT,Yes,Commercial,US-Local,Eastern US,US,Nexstar Media Group,11.1,Eastern,Youth drama; fantasy,Walker; Superman & Lois,Flagship CW feed,CWTV.com,Free-to-air,HD,English,Free-to-air,,The CW,the cw,,tvinsider.com,tvinsider.com,tvinsider.com.channels.xml,100,100,100,token_set,high,The WB,83,The Cowboy Channel,75
The CW West,KTLA-DT,Yes,Commercial,US-Local,Western US,US,Nexstar Media Group,5.1,Pacific,Youth drama; fantasy,All American; The Flash,Time-shifted CW feed,CWTV.com,Free-to-air,HD,English,Free-to-air,,The CW,the cw,,tvinsider.com,tvinsider.com,tvinsider.com.channels.xml,100,100,100,token_set,high,The WB,83,The Cowboy Channel,75
HBO East,HBO East HD,Yes,Premium,US-Specialty,Eastern US,US,Warner Bros. Discovery,,Eastern,Prestige drama,Succession; The Last of Us,Flagship HBO feed,Max.com,Subscription,HD,English,IPTV only,,HBO 2 East,hbo 2,HBO2.us@East,directv.com,directv.com,directv.com.channels.xml,100,75,100,token_set,high,HBO 2 West,100,HBO Comedy HD,100
HBO West,HBO West HD,Yes,Premium,US-Specialty,Western US,US,Warner Bros. Discovery,,Pacific,Prestige drama,House of the Dragon; Barry,Time-shifted HBO feed,Max.com,Subscription,HD,English,IPTV only,,HBO 2 East,hbo 2,HBO2.us@East,directv.com,directv.com,directv.com.channels.xml,100,75,100,token_set,high,HBO 2 West,100,HBO Comedy HD,100
Showtime East,Showtime East HD,Yes,Premium,US-Specialty,Eastern US,US,Paramount Global,,Eastern,Drama; thriller,Yellowjackets; Dexter,Flagship Showtime feed,Showtime.com,Subscription,HD,English,IPTV only,,Showtime (E),showtime e,Showtime.us@East,directv.com,directv.com,directv.com.channels.xml,100,88,100,token_set,high,Showtime (W),100,SHOWTIME 2,100
Showtime West,Showtime West HD,Yes,Premium,US-Specialty,Western US,US,Paramount Global,,Pacific,Drama; thriller,Billions; The Chi,Time-shifted Showtime feed,Showtime.com,Subscription,HD,English,IPTV only,,Showtime (E),showtime e,Showtime.us@East,directv.com,directv.com,directv.com.channels.xml,100,88,100,token_set,high,Showtime (W),100,SHOWTIME 2,100
Starz East,Starz East HD,Yes,Premium,US-Specialty,Eastern US,US,Lionsgate,,Eastern,Action; drama,Power; Outlander,Flagship Starz feed,Starz.com,Subscription,HD,English,IPTV only,,STARZ Cinema HD,starz cinema,StarzCinema.us@East,directv.com,directv.com,directv.com.channels.xml,100,58,100,token_set,high,STARZ Comedy HD,100,STARZ East,100
Starz West,Starz West HD,Yes,Premium,US-Specialty,Western US,US,Lionsgate,,Pacific,Action; drama,Heels; Gaslit,Time-shifted Starz feed,Starz.com,Subscription,HD,English,IPTV only,,STARZ Cinema HD,starz cinema,StarzCinema.us@East,directv.com,directv.com,directv.com.channels.xml,100,58,100,token_set,high,STARZ Comedy HD,100,STARZ East,100
Starz Encore,Encore HD,No,Specialty,US-Specialty,National,US,Lionsgate,,Eastern,Classic films; series,The Big Chill; The Equalizer,Retro and cult content,Starz.com,Subscription,HD,English,IPTV only,,STARZ East,starz,Starz.us@East,directv.com,directv.com,directv.com.channels.xml,100,58,100,token_set,high,STARZ East HD,100,STARZ Encore,100
FX East,FX East HD,Yes,Specialty,US-Specialty,Eastern US,US,Disney,,Eastern,Drama; edgy comedy,Fargo; The Bear,Flagship FX feed,FXNow.com,Subscription,HD,English,IPTV only,,FX,fx,FX.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,FX HD,100,FX Movie,100
FX West,FX West HD,Yes,Specialty,US-Specialty,Western US,US,Disney,,Pacific,Drama; edgy comedy,American Horror Story,Time-shifted FX feed,FXNow.com,Subscription,HD,English,IPTV only,,FX,fx,FX.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,FX HD,100,FX Movie,100
FXX,FXX HD,No,Specialty,US-Specialty,National,US,Disney,,Eastern,Comedy; animation,Archer; It�??s Always Sunny in Philadelphia,Youth and animation-focused FX feed,FXNow.com,Subscription,HD,English,IPTV only,,FXX,fxx,FXX.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,FXX HD,100,FXX USA - Eastern,100
AMC,AMC HD,Yes,Specialty,US-Specialty,National,US,AMC Networks,,Eastern,Thriller; horror,The Walking Dead; Dark Winds,Flagship AMC feed,AMC+,Subscription,HD,English,IPTV only,,AMC,amc,AMC.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,AMC HD,100,AMC - Eastern Feed,100
TNT,TNT HD,Yes,Specialty,US-Specialty,National,US,Warner Bros. Discovery,,Eastern,Drama; action,Snowpiercer; Leverage: Redemption,Drama and sports,WatchTNT.com,Subscription,HD,English,IPTV only,,TNT,tnt,TNT.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,TNT HD,100,TNT West HD,100
TBS,TBS HD,Yes,Specialty,US-Specialty,National,US,Warner Bros. Discovery,,Eastern,Comedy; variety,Miracle Workers; American Dad,Comedy and syndicated content,TBS.com,Subscription,HD,English,IPTV only,,TBS,tbs,TBS.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,TBS HD,100,TBS West HD,100
Bravo,Bravo HD,Yes,Specialty,US-Specialty,National,US,NBCUniversal,,Eastern,Reality; lifestyle,Top Chef; Real Housewives,Flagship Bravo feed,BravoTV.com,Subscription,HD,English,IPTV only,,Bravo,bravo,Bravo.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,Bravo HD,100,Bravo USA - Eastern Feed,100
E!,E! HD,Yes,Specialty,US-Specialty,National,US,NBCUniversal,,Eastern,Celebs; pop culture,E! News; Botched,Entertainment and celebrity news,EOnline.com,Subscription,HD,English,IPTV only,,A&E,a and e,AE.us@East,directv.com,directv.com,directv.com.channels.xml,100,25,100,token_set,high,A&E HD,100,E!,100
